Mike Yastrzemski, https://www.mlb.com/player/573262
Donovan Solano, https://www.mlb.com/player/456781
Wilmer Flores, https://www.mlb.com/player/527038
Brandon Crawford, https://www.mlb.com/player/543063
Alex Dickerson, https://www.mlb.com/player/543105
Evan Longoria, https://www.mlb.com/player/446334
Pablo Sandoval, https://www.mlb.com/player/467055
Mauricio Dubon, https://www.mlb.com/player/643289
Hunter Pence, https://www.mlb.com/player/452254
Tyler Heineman, https://www.mlb.com/player/623168
Austin Slater, https://www.mlb.com/player/596103
Brandon Belt, https://www.mlb.com/player/474832
Chadwick Tromp, https://www.mlb.com/player/644433
Darin Ruf, https://www.mlb.com/player/573131
Steven Duggar, https://www.mlb.com/player/621453
Jaylin Davis, https://www.mlb.com/player/664041
Joe McCarthy, https://www.mlb.com/player/663411
Rob Brantly, https://www.mlb.com/player/542963
